lookahead,train_length,test_length,learning_rate,num_leaves,feature_fraction,min_data_in_leaf,daily_ic_mean,daily_ic_mean_n,daily_ic_median,daily_ic_median_n,boost_rounds,ic
1,216,12,0.3,8.0,0.6,100.0,0.03866650654262914,50.0,0.06666666666666667,50.0,100,0.061697166066547064
1,216,12,0.3,128.0,0.95,200.0,0.0453792735042735,100.0,0.06666666666666667,100.0,100,0.061069444875188915
1,216,12,0.3,128.0,0.95,200.0,0.0453792735042735,100.0,0.06666666666666667,100.0,50,0.06057983911869294
