lookahead,train_length,test_length,bagging_fraction,feature_fraction,min_data_in_leaf,max_depth,daily_ic_mean,daily_ic_mean_n,daily_ic_median,daily_ic_median_n,boost_rounds,ic
1,216,12,0.75,0.75,200.0,-1.0,-0.0017928720519355536,50.0,0.0,50.0,50,0.0268071455705537
1,216,12,0.75,0.75,200.0,10.0,-0.0017928720519355536,50.0,0.0,50.0,50,0.0268071455705537
1,216,12,0.75,0.75,200.0,5.0,-0.0017928720519355536,50.0,0.0,50.0,50,0.0268071455705537
