variable,coef,std_err,t,p_value,ci_low,ci_high
learning_rate_0.1       ,0.0181,0.002,10.42,0.0,0.015,0.021
learning_rate_0.3       ,0.031,0.002,17.949,0.0,0.028,0.034
num_leaves_8            ,0.0008,0.002,0.418,0.676,-0.003,0.005
num_leaves_32           ,0.0021,0.002,1.059,0.29,-0.002,0.006
num_leaves_128          ,0.0014,0.002,0.691,0.49,-0.003,0.005
feature_fraction_0.6    ,3.904e-05,0.002,0.023,0.982,-0.003,0.003
feature_fraction_0.95   ,0.0055,0.002,3.345,0.001,0.002,0.009
min_data_in_leaf_100    ,0.0021,0.002,1.279,0.201,-0.001,0.005
min_data_in_leaf_200    ,-0.0138,0.002,-8.145,0.0,-0.017,-0.01
boost_rounds_100        ,0.0036,0.001,2.685,0.007,0.001,0.006
